Time,Velx1,Vely1,Velx2,Vely2,Velx3,Vely3
0,0,0,0,0,0,0
0.09830111,1.457447E-05,0.003467657,-2.236956E-05,5.506813E-07,0.0001422565,0.01542947
0.1986622,5.215913E-05,0.007355771,-4.554364E-05,0.0001178981,0.0003916357,0.03231935
0.2983867,0.0001843008,0.01158508,-5.914119E-05,0.001153578,0.001031751,0.04760265
0.3980969,0.0003598048,0.01599839,8.682416E-05,0.003102983,0.001281378,0.06059265
0.4974459,0.0005936642,0.02044323,0.0004810513,0.00598472,0.0008641088,0.07040709
0.596654,0.0008372141,0.02492046,0.0008991975,0.009448197,0.0004322014,0.07834355
0.6992845,0.001062653,0.02947965,0.001266112,0.01309966,9.934755E-05,0.08601338
0.797978,0.00131562,0.03358613,0.001603793,0.01618826,5.391859E-06,0.0937069
0.8964075,0.001563339,0.03766928,0.001854386,0.01958912,0.0002305054,0.1002057
0.9982625,0.001768275,0.04191812,0.002005092,0.02308607,0.0006671739,0.1069505
1.099999,0.001960406,0.04588324,0.002200544,0.02626069,0.001004815,0.1136665
1.198123,0.002157358,0.0498975,0.002406579,0.0295874,0.0013512,0.120078
1.299992,0.00242408,0.05411042,0.002632792,0.0330846,0.001906622,0.1266929
1.398262,0.002688103,0.05807795,0.002827434,0.03633018,0.002570663,0.1329702
1.496432,0.002903844,0.06198379,0.002997409,0.03953571,0.003052798,0.1394303
1.598255,0.003094266,0.06621462,0.003213808,0.04307492,0.003269934,0.1461596
1.696552,0.003391564,0.07031251,0.003407595,0.04649761,0.003932969,0.1526235
1.798649,0.003697205,0.0744033,0.003581169,0.04975314,0.004734123,0.159543
1.897273,0.003993315,0.07838822,0.003757092,0.0529871,0.005402001,0.1661788
1.999745,0.004306609,0.08249768,0.003963111,0.05627367,0.006037397,0.1730941
2.098758,0.004634234,0.08650774,0.004239697,0.05932466,0.00654759,0.1802317
2.197911,0.00499529,0.09052425,0.004556568,0.06243148,0.006983463,0.1870143
2.297117,0.005349838,0.0945536,0.004885167,0.06560925,0.007319097,0.1936989
2.399969,0.005776354,0.0987165,0.005335943,0.06887726,0.007569026,0.2007757
2.499107,0.006146613,0.1027342,0.005756231,0.07212151,0.007711878,0.2074071
2.598241,0.006498897,0.1066838,0.006179652,0.0752768,0.007668782,0.2139261
2.697414,0.006827885,0.1105415,0.006565242,0.07832308,0.007592119,0.2203882
2.796658,0.007181313,0.114395,0.006984331,0.08144603,0.007456737,0.2266267
2.899698,0.007536437,0.1183554,0.007387507,0.08461636,0.007332852,0.2330105
2.999192,0.007849702,0.1221321,0.00775685,0.08763391,0.007215833,0.2390848
3.098862,0.008133565,0.1259597,0.008119906,0.09073693,0.006922952,0.2451703
3.19864,0.00839048,0.1298288,0.008459761,0.09393916,0.006714127,0.2512161
3.298508,0.008617798,0.1335309,0.00883113,0.0970212,0.006404106,0.2568719
3.398456,0.008803607,0.1372032,0.009167328,0.1000625,0.005920227,0.2624009
3.498473,0.0089511,0.1408072,0.009501469,0.1031031,0.005249273,0.2675784
3.598571,0.009081698,0.1442882,0.009840418,0.1060533,0.004568104,0.2725069
3.69875,0.009208272,0.1477584,0.01015672,0.1090512,0.003997908,0.2772988
3.798991,0.00933228,0.1512704,0.01042891,0.1121361,0.003554008,0.2820242
3.899227,0.00948946,0.1549148,0.01069933,0.1153299,0.003298718,0.2869979
3.999449,0.009714088,0.1584689,0.01103457,0.1184601,0.003106459,0.2917332
4.099663,0.009956093,0.1620337,0.01141589,0.1216322,0.002865286,0.2963842
4.199875,0.01019681,0.1656601,0.0118017,0.1248053,0.00264709,0.3014171
4.296385,0.01042369,0.1691506,0.01216058,0.1278908,0.002473988,0.3061281
4.39661,0.01066128,0.1726867,0.01253183,0.1310594,0.002356769,0.3107159
4.496836,0.01087179,0.1762152,0.01287894,0.1342961,0.002193273,0.3150177
4.597071,0.01102947,0.1796926,0.01320935,0.1375019,0.001871706,0.3191636
4.697325,0.01121366,0.1831155,0.01358924,0.1406876,0.001489979,0.3231239
4.797604,0.0114427,0.1866043,0.01403503,0.1439686,0.001069172,0.3270436
4.89785,0.01169577,0.1901937,0.01449861,0.1472213,0.0006725705,0.3315542
4.998055,0.01196828,0.1937634,0.01495351,0.1504436,0.0003212904,0.3361063
5.098238,0.01225175,0.1972625,0.01539998,0.1536202,2.778959E-05,0.3404325
5.198416,0.01252804,0.2007403,0.01585439,0.1568102,-0.0002648045,0.3446001
5.298657,0.0127499,0.2040924,0.0162673,0.159828,-0.0006309478,0.3488631
5.399042,0.01294481,0.2075132,0.0166793,0.1629411,-0.001124152,0.3531826
5.499452,0.01314451,0.2110606,0.01710534,0.1662517,-0.001663957,0.3574232
5.599853,0.01332833,0.2146406,0.01753819,0.1696214,-0.002324796,0.3615607
