Time,CMX1,CMY1,CMX2,CMY2,CMX3,CMY3
0,0.1453891,-0.03651618,0.09070503,-0.05348699,0.3341145,0.02205335
0.09830111,0.1453861,-0.03635231,0.0906858,-0.053468,0.3341681,0.02271736
0.1986622,0.1453946,-0.03592812,0.09066411,-0.05346147,0.3342846,0.02458165
0.2983867,0.1454013,-0.03519112,0.09063019,-0.05344697,0.3344385,0.02779543
0.3980969,0.145411,-0.0341274,0.09059022,-0.05334043,0.3346253,0.03212455
0.4974459,0.1454299,-0.03272101,0.09055906,-0.05307063,0.3348117,0.03743536
0.596654,0.1454724,-0.03086413,0.09055498,-0.05252499,0.3349994,0.04380329
0.6992845,0.1455371,-0.02851363,0.09057362,-0.05164888,0.3351996,0.0512472
0.797978,0.1456324,-0.02575298,0.09061565,-0.05050259,0.3354549,0.05956523
0.8964075,0.1457694,-0.02274198,0.09069307,-0.04914354,0.3357679,0.06829583
0.9982625,0.1459183,-0.01924309,0.09078053,-0.04744295,0.3360985,0.07804426
1.099999,0.1460941,-0.01527827,0.09087973,-0.04539624,0.3365284,0.0886925
1.198123,0.1462766,-0.01115582,0.09101088,-0.04310625,0.3368951,0.09922496
1.299992,0.1464767,-0.006394856,0.09116435,-0.04029261,0.3372676,0.1107864
1.398262,0.146721,-0.001437059,0.09136831,-0.03730156,0.3376716,0.1226347
1.496432,0.1469909,0.003813904,0.09160679,-0.03417204,0.3380794,0.1352279
1.598255,0.1472775,0.009584977,0.09186453,-0.03066016,0.3385082,0.1488559
1.696552,0.1475848,0.0154609,0.09216165,-0.02691639,0.3388991,0.1621913
1.798649,0.1479656,0.02196327,0.09254727,-0.02272718,0.3393214,0.1767783
1.897273,0.1483512,0.02874259,0.09295059,-0.01829297,0.3397007,0.1917181
1.999745,0.1487752,0.03618066,0.09340133,-0.01334802,0.3400975,0.2078282
2.098758,0.1492341,0.04376516,0.09384435,-0.008272109,0.3406808,0.2241653
2.197911,0.1497183,0.05181327,0.09431637,-0.002836399,0.3412803,0.2413474
2.297117,0.1502484,0.06038401,0.09486239,0.003041841,0.3418253,0.2593092
2.399969,0.1508192,0.06963693,0.09548908,0.009384841,0.3422752,0.2785957
2.499107,0.1514097,0.07900699,0.09614088,0.01582735,0.342721,0.2980024
2.598241,0.1520079,0.08889605,0.09681742,0.02271252,0.3431066,0.3181992
2.697414,0.1527389,0.09918907,0.09763676,0.02997681,0.3435703,0.3388969
2.796658,0.1535477,0.1098579,0.09851505,0.03755346,0.3441524,0.3601904
2.899698,0.1544341,0.1213585,0.09946453,0.0457791,0.3448179,0.3829855
2.999192,0.1552773,0.1328459,0.1003748,0.05399425,0.3454154,0.4057483
3.098862,0.1561529,0.1447089,0.1013371,0.06245126,0.3459376,0.4293039
