Time	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	Vely1	MEAN	STDEV
34.99991	0.5882161	0.3573881	0.3565083	0.603894	0.5169299	0.945467	0.5699426	0.542109	0.47796	0.9815776	0.59399926	0.213161599606382
35.99984	0.6129364	0.3857842	0.375823	0.6351403	0.5463759	0.981003	0.6042203	0.5764622	0.5008504	1.011008	0.62296037	0.215932867612244
36.99973	0.6367792	0.4152123	0.3963313	0.6632864	0.576213	1.017753	0.6380862	0.6123482	0.5268087	1.042546	0.65253643	0.218905078921969
37.99998	0.6581541	0.4459852	0.4179681	0.6889895	0.6087874	1.055692	0.6708076	0.6514514	0.5499633	1.073074	0.68208726	0.221728081721735
38.9998	0.6782548	0.4797254	0.4386935	0.7175993	0.6454309	1.091595	0.7044011	0.6944368	0.5757392	1.100779	0.7126655	0.22321383105328
39.99969	0.6947896	0.5150827	0.4601447	0.7508424	0.6842234	1.132683	0.7430189	0.7349578	0.6022924	1.129715	0.74477499	0.225838433606778
40.99987	0.7105986	0.5539176	0.4876488	0.7663008	0.7268151	1.172958	0.7827547	0.7747655	0.6366258	1.164024	0.77764089	0.227752606924919
41.99995	0.7329273	0.5966065	0.5185157	0.7824672	0.7719189	1.21817	0.8196151	0.8080914	0.6624614	1.199187	0.81099605	0.230596181290532
42.99982	0.7543451	0.6431652	0.5522963	0.8013324	0.8228291	1.266334	0.8514357	0.8406771	0.6898991	1.232013	0.8454327	0.232962893036428
44	0.7775788	0.6932264	0.5828483	0.8342503	0.87879	1.31294	0.879718	0.8687128	0.7192863	1.263175	0.88105259	0.234751294014379
44.99993	0.8024523	0.7402721	0.6150903	0.8745745	0.9316801	1.362112	0.8998117	0.8909062	0.7530762	1.292334	0.91623094	0.236727820123304
45.99971	0.8352864	0.7922961	0.6471066	0.9159473	0.9823906	1.411188	0.9121648	0.9136028	0.7847293	1.32743	0.95221419	0.23971100468068
46.99972	0.8700228	0.8421324	0.6758845	0.9696969	1.038141	1.46449	0.9325457	0.9389185	0.8038769	1.369002	0.99047107	0.246529433978393
47.99983	0.9081723	0.8950515	0.7116814	1.022506	1.095568	1.51425	0.9526835	0.9653554	0.8101885	1.412641	1.02880976	0.253444500080082
48.99977	0.9507985	0.9428793	0.7451483	1.059601	1.149818	1.561832	0.9689957	0.9920552	0.8252687	1.460769	1.06571657	0.260973108195972
49.99991	0.9944519	0.9866197	0.7858428	1.100887	1.200086	1.605411	0.9682181	1.017807	0.8614477	1.508149	1.10289202	0.265765109300934
50.99974	1.03514	1.031619	0.8298084	1.143358	1.254247	1.648127	0.9751403	1.042214	0.8993028	1.558771	1.14177275	0.270848723533362
51.99968	1.080325	1.087518	0.8758326	1.192433	1.318376	1.683276	0.9907734	1.064391	0.9337647	1.610411	1.18371007	0.274573409519074
52.99995	1.131086	1.150779	0.9324724	1.246782	1.370744	1.698983	1.007402	1.085162	0.9722203	1.656615	1.22522457	0.271491514669121
53.99987	1.190592	1.214558	0.9948986	1.297096	1.424369	1.718564	1.029653	1.090754	1.011895	1.684749	1.26571286	0.266495946777633
