Time	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	MEAN	STDEV
37.99993	17.70097	18.14913	21.96034	20.7291	27.2291	16.59042	14.64845	20.8491	12.57275	16.72966	18.715902	4.15934087679446
38.99992	18.7899	19.29135	23.51196	22.23679	28.98223	17.85469	15.63446	22.2033	13.21542	17.68782	19.940792	4.47015469263723
39.99982	19.87027	20.54329	25.22574	23.82574	30.80628	19.12304	16.46524	23.58472	13.95383	18.66666	21.206481	4.81806939435162
40.99975	21.04788	21.74097	26.9689	25.39469	32.66004	20.40333	17.29486	24.98295	14.63224	19.62276	22.474862	5.18641254410407
41.99995	22.27551	23.05479	28.77912	26.91534	34.52414	21.69542	18.26225	26.44458	15.22507	20.63895	23.781517	5.55769283209829
42.99983	23.57919	24.19937	30.67773	28.50787	36.40151	23.15419	19.43254	27.95858	15.95097	21.70576	25.156771	5.89579812994051
43.99991	24.93693	25.23198	32.69986	30.17213	38.29206	24.60675	20.66527	29.55916	16.76231	22.68988	26.561633	6.24780057895941
44.99981	26.24674	26.44727	34.81325	31.79062	40.23567	26.08487	21.91681	31.25404	17.65789	23.85783	28.030499	6.59423061354806
45.99982	27.56853	27.96275	36.82549	33.42864	42.19281	27.58552	23.02982	32.99509	18.67397	25.00117	29.526379	6.92401385704925
46.99977	28.93186	29.44779	38.7414	35.06985	44.11303	29.01267	24.22292	34.79543	19.74584	26.01573	31.009652	7.23350832027017
47.9999	30.26425	31.01521	40.77616	37.06004	46.13067	30.33226	25.54068	36.62489	20.82304	26.98332	32.555052	7.59523189699198
48.99995	31.66545	32.57672	42.99437	38.93346	48.27856	31.537	26.79934	38.56206	21.8406	28.19294	34.13805	8.00486994592667
49.9998	33.17287	34.25291	45.26324	40.82305	50.49771	32.82337	28.14756	40.45329	22.97229	29.42111	35.78274	8.39584947514743
50.99994	34.78835	35.98568	47.4477	42.98585	52.67341	34.43336	29.0661	41.99131	24.12121	30.64793	37.41409	8.7908144156222
51.99975	36.66465	37.68688	49.72682	44.99989	54.14895	36.22744	30.22561	42.88004	25.28846	31.83221	38.968095	8.98663983537445
52.99975	38.68418	39.496	52.28645	47.03361	54.73502	38.15761	31.44589	43.90148	26.17672	33.20231	40.511927	9.10429964151987
53.99973	40.71084	41.25394	54.90958	49.06056	56.35653	40.14546	32.88816	45.35777	27.30383	34.61419	42.260086	9.38336576004604
54.99983	42.77567	43.165	57.56978	51.04283	58.29955	42.17929	34.37198	46.54598	28.46812	36.23045	44.064865	9.68660369243266
55.99981	44.8665	45.18533	60.30294	52.95631	60.37467	44.15124	35.66707	47.62076	29.75738	37.79123	45.867343	10.0298933084411
56.99998	46.99806	47.18146	63.11179	55.11736	62.50286	46.12903	37.21693	49.57901	31.0773	39.45128	47.836508	10.3949204613608
57.99996	49.21153	49.22089	65.90304	57.3521	64.5333	48.12936	38.9757	51.92163	32.25068	41.15479	49.865302	10.756018331487
58.99973	51.44947	51.08459	68.71491	59.71897	66.6508	50.38975	40.81658	54.14175	33.60629	42.71982	51.929293	11.1125899980228
59.99988	53.51363	52.84001	71.41239	62.0104	68.57569	52.64651	42.6066	56.3413	35.11675	43.97748	53.904076	11.4282783442867
60.99982	55.53721	54.7713	74.21008	64.33237	70.36742	54.8677	44.52122	58.67471	36.7467	45.63757	55.966628	11.6782751095421
61.99996	57.61231	56.59595	77.18241	66.70998	71.64827	57.02061	46.47617	61.00913	38.5514	47.39745	58.020368	11.8588748990701
62.99998	59.72087	58.4187	80.03629	69.15584	72.35079	59.08221	48.43765	63.14698	40.26216	49.32988	59.994137	11.9641592730585
63.99986	61.74738	60.51907	82.95352	71.6209	73.72793	61.2649	50.32197	65.34965	41.85408	51.41066	62.077006	12.1905375720936
