Time	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	CMY1	MEAN	STDEV
36.99973	9.318892	5.049206	5.592714	10.92258	8.633506	16.01086	10.69209	8.255014	9.155792	18.05398	10.1684634	4.11051204429295
37.99998	9.902207	5.436231	5.829195	11.38413	9.167822	16.95593	11.06485	8.872078	9.451372	19.05352	10.7117335	4.33120650926204
38.9998	10.4624	5.883182	6.03019	11.88499	9.751461	17.87472	11.49972	9.52045	9.669891	19.95551	11.2532514	4.52820124370111
39.99969	10.95554	6.2802	6.25176	12.48159	10.3599	18.89318	12.1135	10.20581	9.851955	20.86373	11.8257165	4.75388868584917
40.99987	11.4053	6.735156	6.555659	12.48267	10.97758	19.95783	12.68563	10.93701	10.24419	21.90528	12.3886305	4.98448270880088
41.99995	12.05193	7.244668	6.934384	12.3687	11.56111	21.08607	13.15224	11.62257	10.42494	22.97637	12.9422982	5.23571008245138
42.99982	12.64095	7.767919	7.380422	12.38273	12.26316	22.2761	13.53782	12.36137	10.66378	23.94531	13.5219561	5.46995514759361
44	13.24109	8.375337	7.701102	12.62563	12.9929	23.52653	13.89111	13.08127	10.98344	24.87236	14.1290769	5.7110416543641
44.99993	13.7802	9.034254	8.152436	13.17224	13.6873	24.73333	14.0174	13.70389	11.48752	25.79015	14.755872	5.91216300677653
45.99971	14.44823	9.717029	8.553756	13.81037	14.33656	25.96881	14.00745	14.39556	11.97361	26.80815	15.4019525	6.14875549614188
46.99972	15.12732	10.3624	8.88048	14.57371	15.08055	27.27559	14.40574	15.20962	12.00419	27.95974	16.087934	6.45790824854509
47.99983	15.80605	11.0861	9.497856	15.3338	15.70625	28.49363	14.79382	16.07638	11.44558	29.19796	16.7437426	6.78184563319921
48.99977	16.53113	11.61087	9.986669	15.46211	16.2953	29.81767	15.12821	16.96102	11.07039	30.48979	17.3353159	7.18887414793113
49.99991	17.18743	12.06921	10.58865	15.90704	16.80452	31.0833	14.92195	17.88827	11.5278	31.7336	17.971177	7.5109161393831
50.99974	17.66197	12.54443	11.20975	16.41704	17.51139	32.33344	15.0074	18.76918	12.25417	33.10305	18.681182	7.81878715266533
51.99968	18.24519	13.33728	11.91925	17.3629	18.59718	33.32525	15.40026	19.59518	12.94379	34.41338	19.513966	7.99825691995755
52.99995	18.77469	14.37298	12.7551	18.51645	19.38285	33.53921	15.87216	20.52282	13.72222	35.51769	20.297617	7.94551716050706
53.99987	19.51497	15.46071	13.63257	19.66897	20.32696	33.82605	16.68903	20.96792	14.51012	35.90003	21.049733	7.72147401791919
54.99994	20.48167	16.6394	14.41419	20.93471	21.02279	34.65803	17.62202	21.53832	15.41311	36.85628	21.958052	7.70540801155166
55.99974	21.38927	17.86594	14.8997	22.25177	21.9973	35.59688	18.58841	22.15289	16.35112	37.44818	22.854146	7.65752369907923
56.99985	22.5075	19.1891	15.84123	23.42295	23.46478	35.89043	19.6092	22.50639	17.23809	37.83242	23.750209	7.39282629497069
57.99971	23.75489	20.62626	16.97712	24.56016	25.00346	35.99439	20.70198	22.84215	18.15073	38.27844	24.688958	7.08290489931889
58.99978	24.25215	22.05817	18.19953	25.56773	26.57487	36.73861	21.81691	22.3406	19.30127	38.80561	25.565545	6.93729040217553
59.99991	24.10208	23.55822	19.47152	26.41858	28.16774	37.83228	22.90469	22.32894	20.45978	39.76682	26.501065	6.97478738557552
60.99977	24.06234	25.06779	20.75978	27.7083	29.84088	39.18313	23.97256	22.80246	21.58263	40.34069	27.532056	6.98872408158106
61.99976	24.49576	26.60905	22.07316	29.03555	31.60707	40.60376	25.05202	23.01297	22.82507	40.71054	28.602495	6.99641762172494
62.99977	25.61557	28.32522	23.43721	30.67496	33.43182	41.63753	26.19805	23.3836	24.20412	40.2069	29.711498	6.73247240683507
63.99974	26.69387	30.07369	24.79511	32.43889	35.18051	42.57645	27.40891	24.13566	25.60975	38.54048	30.745332	6.29587956448201
64.99971	27.73663	31.73961	26.20469	34.15839	36.93122	43.99112	28.56506	24.90167	26.92915	35.90306	31.70606	6.02643042570346
65.99968	29.43393	33.41392	27.66162	35.82172	38.74273	45.50438	29.63997	25.58821	28.1697	34.26746	32.824364	6.05109046493128
66.99985	30.89377	35.07297	29.29577	37.56039	40.6507	46.92967	30.59502	26.32505	29.54184	34.54285	34.140803	6.21364655183886
67.99973	32.27624	36.85076	30.94653	39.31024	42.58456	48.1462	31.57667	26.84701	30.84346	35.02532	35.440699	6.40942741301428
68.99993	33.62674	38.71356	32.62743	41.11856	44.4473	49.72383	32.73614	27.61517	32.32662	35.98422	36.891957	6.63966444852792
69.99968	34.89189	40.71988	34.44085	43.02958	46.24213	51.62926	33.98683	28.30871	33.90302	37.25563	38.440778	6.94530111696118
70.99982	36.38225	42.89079	36.14008	44.97822	48.06489	53.57689	35.49736	29.15108	35.5681	38.99207	40.124173	7.21862663713512
71.99981	38.2329	45.22953	37.99349	46.83627	49.93995	55.69196	37.00084	30.14852	37.28705	40.91206	41.927257	7.47861310352253
72.99968	40.28421	47.63223	39.81095	48.6049	51.89409	57.82561	38.37849	30.95205	39.01186	43.133	43.752739	7.78952149671945
73.99996	42.44922	50.09174	41.59806	50.40206	53.93278	59.79348	39.93498	31.68112	40.69537	45.2979	45.587671	8.0969222941758
74.99995	44.60736	52.59124	43.5177	52.20273	55.98832	61.31492	41.36058	32.16844	42.32306	47.57421	47.364856	8.39668486519954
75.99984	46.82458	55.03465	45.393	53.98475	58.21775	62.39798	42.92627	32.75879	43.99647	49.96326	49.14975	8.62738822036993
76.99979	49.20988	57.04767	47.05487	55.89119	60.35356	63.88733	43.5449	33.17974	45.78229	52.44794	50.839937	9.03723163304886
77.99997	51.62216	58.97636	48.05028	57.8014	62.19521	65.67734	44.14692	33.99894	47.51033	54.89547	52.487441	9.43371466207059
78.99993	54.01862	60.81118	48.87781	59.79978	64.10577	67.68817	44.68992	34.75276	49.20631	57.30514	54.125546	9.92549476439134
79.99998	56.42097	62.723	49.59071	61.93819	65.84187	69.48503	45.82667	35.69738	50.93481	59.73021	55.818884	10.3029720156524
80.9997	58.78433	64.696	51.03789	64.09402	66.78898	71.52259	46.8201	37.03448	52.96199	62.25513	57.599551	10.5282346818833
81.99982	61.22071	67.05713	53.17792	66.28983	66.4073	73.63464	47.78864	38.2627	55.07478	64.98372	59.389737	10.7048868749568
82.99975	63.87903	69.68084	55.67436	67.88588	66.64899	75.98202	48.17513	39.57083	57.27711	67.72267	61.249686	11.0449233246765
83.99992	66.52483	72.32817	58.21604	69.31722	68.34127	78.34745	48.59237	40.73022	59.40425	70.34637	63.214819	11.5290267117408
84.99974	69.16626	75.07576	60.78291	71.05248	70.44515	80.83669	48.95538	41.69192	60.52612	73.09354	65.162621	12.2006301894738
85.9998	71.91013	77.76105	63.31517	73.20269	72.63651	83.54103	48.59259	42.74558	61.17522	75.44332	67.032329	13.0369292694863
86.99998	74.77898	80.65661	65.62066	75.41715	74.76288	86.29738	49.11158	44.00602	62.2121	77.50301	69.036637	13.7149338288136
87.99987	77.77507	83.6004	67.69782	77.65189	76.74986	89.14049	49.17948	45.41627	63.12515	79.52119	70.985762	14.4808156713347
88.99981	80.60161	86.5148	70.16026	79.90066	78.671	91.93203	49.41636	46.74832	64.25648	81.84661	73.004813	15.2269852694375
89.99983	83.47933	89.24813	72.52376	82.11576	80.94821	94.60003	51.02327	48.18392	65.65807	84.08101	75.186149	15.6864840659732
90.99981	86.1822	92.01389	75.38405	84.35265	83.19	97.51092	53.02302	49.59151	67.28594	86.06024	77.459442	16.0757834454725
91.99978	88.82882	94.91814	78.33327	86.42159	85.17435	100.3833	55.00564	50.79829	69.60407	87.97177	79.743924	16.4492256303357
92.9999	91.53353	97.4937	81.35969	87.89877	87.1339	102.3746	57.04469	52.02481	71.96313	89.614	81.844082	16.6245395479486
93.99982	94.1585	99.94959	84.31732	88.87068	88.84201	104.3534	58.84562	53.51983	74.2915	90.68491	83.783336	16.7311149556927
94.99981	96.02679	101.4276	87.01074	90.38682	90.91113	106.8102	60.75478	55.13144	76.24908	91.92267	85.663125	16.7836213443744
95.99995	97.91764	102.8238	89.74249	91.79788	92.96758	109.0189	62.83948	56.24773	78.33515	93.76769	87.545834	16.8915071510207
96.99994	98.9484	104.2656	92.6028	93.52787	95.25671	111.5291	64.52163	56.4735	79.89331	95.59045	89.260937	17.3046124237211
97.99969	100.5922	105.3827	95.67223	95.22464	97.55544	113.8706	65.92499	57.37578	81.85568	97.45973	91.091399	17.6042774904847
98.99989	102.005	105.8292	98.67503	97.23104	99.97986	116.6912	67.8998	58.13607	84.14219	99.31477	92.990416	17.8563008499192
99.99995	102.512	105.3242	101.8136	99.34562	102.3371	119.5133	70.25742	58.63785	86.49512	100.7564	94.699261	18.0186003405015
