Time Velx1 Vely1 Velx2 Vely2 Velx3 Vely3
0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
9.801032e-02 2.975634e-06 3.217704e-03 -1.093383e-05 9.556159e-06 6.256234e-05 1.686336e-02
1.990534e-01 3.543359e-05 6.951728e-03 -1.817596e-05 4.177126e-05 2.670089e-04 3.632804e-02
2.994890e-01 1.520874e-04 1.105775e-02 -2.360068e-05 6.967500e-04 9.046697e-04 5.512593e-02
3.971466e-01 2.858342e-04 1.511218e-02 7.121384e-05 2.438113e-03 1.204264e-03 6.907620e-02
4.972429e-01 4.865241e-04 1.935974e-02 4.681446e-04 5.379431e-03 5.065710e-04 7.882160e-02
5.999785e-01 6.701774e-04 2.356981e-02 9.624755e-04 8.763283e-03 -7.574357e-04 8.646548e-02
6.995497e-01 8.421963e-04 2.753637e-02 1.331887e-03 1.190410e-02 -1.552571e-03 9.392231e-02
7.988532e-01 1.023590e-03 3.136511e-02 1.580738e-03 1.509693e-02 -1.748294e-03 1.004844e-01
8.978576e-01 1.175680e-03 3.517169e-02 1.712355e-03 1.825494e-02 -1.447866e-03 1.070304e-01
9.995929e-01 1.333932e-03 3.913098e-02 1.770527e-03 2.159901e-02 -6.879466e-04 1.136472e-01
1.098350e+00 1.463906e-03 4.291837e-02 1.801920e-03 2.471300e-02 3.157016e-05 1.202088e-01
1.197151e+00 1.627936e-03 4.671548e-02 1.885419e-03 2.773049e-02 7.974005e-04 1.272360e-01
1.298977e+00 1.772164e-03 5.067716e-02 1.901365e-03 3.119670e-02 1.662017e-03 1.332009e-01
1.397864e+00 1.896244e-03 5.460362e-02 1.885876e-03 3.448987e-02 2.629691e-03 1.395646e-01
1.499625e+00 2.017762e-03 5.855358e-02 1.886646e-03 3.772378e-02 3.425711e-03 1.464734e-01
1.598537e+00 2.172167e-03 6.238343e-02 1.906305e-03 4.103326e-02 4.117752e-03 1.527629e-01
1.697580e+00 2.325985e-03 6.627519e-02 1.908350e-03 4.439036e-02 4.912614e-03 1.588946e-01
1.799735e+00 2.442252e-03 7.023394e-02 1.855321e-03 4.776187e-02 5.783522e-03 1.652202e-01
1.899198e+00 2.519308e-03 7.393529e-02 1.783705e-03 5.091275e-02 6.500117e-03 1.711895e-01
1.998826e+00 2.634458e-03 7.774347e-02 1.764051e-03 5.416549e-02 7.161045e-03 1.773522e-01
2.098460e+00 2.795364e-03 8.168002e-02 1.752544e-03 5.767483e-02 8.019466e-03 1.831479e-01
2.198090e+00 2.956942e-03 8.571008e-02 1.707301e-03 6.125646e-02 8.909548e-03 1.889816e-01
2.297754e+00 3.157510e-03 8.972966e-02 1.740285e-03 6.486038e-02 9.625297e-03 1.947731e-01
2.397468e+00 3.397202e-03 9.367461e-02 1.865726e-03 6.840071e-02 1.022689e-02 2.004141e-01
2.497226e+00 3.675509e-03 9.768677e-02 2.070097e-03 7.191226e-02 1.057779e-02 2.063597e-01
2.599901e+00 4.037258e-03 1.017797e-01 2.407250e-03 7.543756e-02 1.074616e-02 2.126815e-01
2.699633e+00 4.417724e-03 1.057846e-01 2.853261e-03 7.892391e-02 1.054395e-02 2.186491e-01
2.799402e+00 4.836727e-03 1.097984e-01 3.374208e-03 8.247624e-02 1.019282e-02 2.243963e-01
2.899234e+00 5.256174e-03 1.139125e-01 3.940105e-03 8.609770e-02 9.681907e-03 2.304684e-01
2.999178e+00 5.647805e-03 1.179569e-01 4.561272e-03 8.960653e-02 8.792549e-03 2.366662e-01
3.099285e+00 6.049282e-03 1.219341e-01 5.241057e-03 9.298587e-02 7.720564e-03 2.429652e-01
3.199569e+00 6.429675e-03 1.259269e-01 5.968662e-03 9.635921e-02 6.446849e-03 2.493376e-01
3.297064e+00 6.804777e-03 1.297454e-01 6.722799e-03 9.963463e-02 5.115365e-03 2.551765e-01
3.397633e+00 7.174195e-03 1.336435e-01 7.490605e-03 1.030970e-01 3.740327e-03 2.607306e-01
3.498172e+00 7.542329e-03 1.374792e-01 8.242389e-03 1.066005e-01 2.453903e-03 2.658100e-01
3.598690e+00 7.925645e-03 1.412163e-01 8.982961e-03 1.100402e-01 1.329280e-03 2.706392e-01
3.699212e+00 8.350816e-03 1.449013e-01 9.750646e-03 1.134724e-01 3.167285e-04 2.752113e-01
3.799763e+00 8.767840e-03 1.485721e-01 1.049590e-02 1.169155e-01 -6.276848e-04 2.796224e-01
3.897402e+00 9.141888e-03 1.521185e-01 1.119387e-02 1.202943e-01 -1.595642e-03 2.837160e-01
