Time Mass1 Mass2 Mass3 AvgRho1 AvgRho2 AvgRho3 AvgPrs1 AvgPrs2 AvgPrs3 AvgTem1 AvgTem2 AvgTem3
0.000000e+00 8.503823e+01 6.152670e+01 2.351154e+01 2.681008e+01 7.572517e+01 9.965155e+00 1.000000e-01 1.000000e-01 1.000000e-01 1.748499e+00 8.225807e-03 2.347798e+00
9.941757e-02 8.503829e+01 6.152670e+01 2.351158e+01 2.567291e+01 7.551023e+01 9.414083e+00 1.123565e-01 9.998585e-02 1.163914e-01 1.577148e+00 8.073057e-03 2.089075e+00
1.981392e-01 8.503838e+01 6.152670e+01 2.351164e+01 2.381726e+01 7.568350e+01 8.526893e+00 1.332034e-01 1.076876e-01 1.408227e-01 1.553459e+00 8.903499e-03 2.008871e+00
2.991094e-01 8.503846e+01 6.152670e+01 2.351168e+01 2.220932e+01 7.709180e+01 7.750581e+00 1.540969e-01 1.561908e-01 1.552739e-01 1.527607e+00 1.396128e-02 1.925879e+00
3.988841e-01 8.503858e+01 6.152670e+01 2.351171e+01 2.079925e+01 7.925166e+01 7.092459e+00 1.707963e-01 2.304669e-01 1.587481e-01 1.389320e+00 1.853512e-02 1.710396e+00
4.990965e-01 8.503867e+01 6.152670e+01 2.351171e+01 1.958850e+01 8.134282e+01 6.553088e+00 1.825697e-01 3.111777e-01 1.570857e-01 1.188806e+00 2.206417e-02 1.435139e+00
5.990884e-01 8.503872e+01 6.152670e+01 2.351171e+01 1.856254e+01 8.306287e+01 6.118317e+00 1.851235e-01 3.718778e-01 1.508977e-01 9.689069e-01 2.516095e-02 1.151499e+00
6.988377e-01 8.503875e+01 6.152670e+01 2.351171e+01 1.761682e+01 8.467038e+01 5.731411e+00 1.824380e-01 4.163934e-01 1.431210e-01 8.409226e-01 2.801529e-02 9.859148e-01
7.982761e-01 8.503877e+01 6.152670e+01 2.351171e+01 1.669367e+01 8.544377e+01 5.375038e+00 1.828300e-01 4.640710e-01 1.384898e-01 7.806958e-01 3.403940e-02 9.048087e-01
8.973620e-01 8.503878e+01 6.152670e+01 2.351171e+01 1.584421e+01 8.571198e+01 5.057179e+00 1.793674e-01 4.954433e-01 1.325184e-01 7.310152e-01 4.405770e-02 8.383513e-01
9.992052e-01 8.503878e+01 6.152670e+01 2.351171e+01 1.507329e+01 8.511564e+01 4.776887e+00 1.746554e-01 5.204169e-01 1.262819e-01 6.720811e-01 6.079324e-02 7.637089e-01
1.098240e+00 8.503878e+01 6.152670e+01 2.351171e+01 1.445888e+01 8.429125e+01 4.556068e+00 1.718900e-01 5.430981e-01 1.216492e-01 6.272570e-01 7.749831e-02 7.075425e-01
1.197188e+00 8.503878e+01 6.152670e+01 2.351171e+01 1.397249e+01 8.321751e+01 4.385015e+00 1.703190e-01 5.656920e-01 1.178006e-01 5.732727e-01 9.937840e-02 6.420013e-01
1.298717e+00 8.503879e+01 6.152670e+01 2.351171e+01 1.357475e+01 8.144682e+01 4.252175e+00 1.709448e-01 5.992909e-01 1.139368e-01 5.217537e-01 1.202372e-01 5.804425e-01
1.397178e+00 8.503879e+01 6.152670e+01 2.351171e+01 1.324188e+01 7.981142e+01 4.140519e+00 1.708987e-01 6.168941e-01 1.116567e-01 4.924318e-01 1.465453e-01 5.440926e-01
1.498547e+00 8.503880e+01 6.152670e+01 2.351171e+01 1.291241e+01 7.722167e+01 4.036759e+00 1.727601e-01 6.388108e-01 1.100162e-01 4.739803e-01 1.737295e-01 5.206572e-01
1.597162e+00 8.503880e+01 6.152670e+01 2.351171e+01 1.260207e+01 7.423721e+01 3.943253e+00 1.707534e-01 6.312632e-01 1.076959e-01 4.646107e-01 2.027336e-01 5.077709e-01
1.698912e+00 8.503881e+01 6.152670e+01 2.351171e+01 1.230434e+01 7.014306e+01 3.863183e+00 1.689559e-01 6.194719e-01 1.050541e-01 4.666543e-01 2.378824e-01 5.077361e-01
1.797990e+00 8.503882e+01 6.152670e+01 2.351171e+01 1.204617e+01 6.554433e+01 3.804121e+00 1.689767e-01 6.065225e-01 1.028987e-01 4.708507e-01 2.769572e-01 5.097225e-01
1.897253e+00 8.503883e+01 6.152670e+01 2.351171e+01 1.179075e+01 6.062040e+01 3.752493e+00 1.694411e-01 5.860554e-01 1.015440e-01 4.731584e-01 3.156339e-01 5.093913e-01
1.999585e+00 8.503884e+01 6.152670e+01 2.351171e+01 1.147683e+01 5.534154e+01 3.688228e+00 1.702766e-01 5.632296e-01 1.008765e-01 4.766912e-01 3.516740e-01 5.106783e-01
2.098948e+00 8.503884e+01 6.152670e+01 2.351171e+01 1.113501e+01 5.044421e+01 3.617073e+00 1.698704e-01 5.348663e-01 1.002239e-01 4.792965e-01 3.829168e-01 5.109127e-01
2.198242e+00 8.503885e+01 6.152670e+01 2.351171e+01 1.080034e+01 4.594027e+01 3.552299e+00 1.673854e-01 4.993455e-01 9.887545e-02 4.808001e-01 4.088400e-01 5.101616e-01
2.297528e+00 8.503886e+01 6.152670e+01 2.351171e+01 1.050242e+01 4.189133e+01 3.504541e+00 1.639717e-01 4.611718e-01 9.762296e-02 4.815160e-01 4.314680e-01 5.084080e-01
2.399788e+00 8.503886e+01 6.152670e+01 2.351171e+01 1.024279e+01 3.812920e+01 3.477858e+00 1.611076e-01 4.263142e-01 9.676876e-02 4.820797e-01 4.509134e-01 5.066015e-01
2.499223e+00 8.503886e+01 6.152670e+01 2.351171e+01 1.003504e+01 3.485806e+01 3.471696e+00 1.603983e-01 4.006665e-01 9.679612e-02 4.819874e-01 4.660317e-01 5.044590e-01
2.598770e+00 8.503886e+01 6.152670e+01 2.351171e+01 9.858056e+00 3.206919e+01 3.474060e+00 1.607497e-01 3.795812e-01 9.757892e-02 4.819563e-01 4.790385e-01 5.026109e-01
2.698420e+00 8.503886e+01 6.152670e+01 2.351171e+01 9.708493e+00 2.981734e+01 3.478063e+00 1.624196e-01 3.633171e-01 9.943188e-02 4.813788e-01 4.897078e-01 5.004141e-01
2.798132e+00 8.503886e+01 6.152670e+01 2.351171e+01 9.590429e+00 2.804291e+01 3.484485e+00 1.643252e-01 3.520105e-01 1.010298e-01 4.803475e-01 4.968636e-01 4.983928e-01
2.897813e+00 8.503886e+01 6.152670e+01 2.351171e+01 9.496374e+00 2.662380e+01 3.493424e+00 1.654676e-01 3.417725e-01 1.022681e-01 4.796848e-01 5.005028e-01 4.975160e-01
2.997246e+00 8.503887e+01 6.152670e+01 2.351171e+01 9.415748e+00 2.543666e+01 3.505639e+00 1.653667e-01 3.311821e-01 1.027422e-01 4.799111e-01 5.017409e-01 4.978406e-01
3.099470e+00 8.503887e+01 6.152670e+01 2.351171e+01 9.351970e+00 2.439358e+01 3.524604e+00 1.657577e-01 3.212047e-01 1.042389e-01 4.823474e-01 5.046478e-01 4.999940e-01
3.198806e+00 8.503887e+01 6.152670e+01 2.351171e+01 9.305380e+00 2.354792e+01 3.543509e+00 1.664756e-01 3.134688e-01 1.058842e-01 4.858742e-01 5.085842e-01 5.033796e-01
3.298234e+00 8.503887e+01 6.152670e+01 2.351171e+01 9.258670e+00 2.286464e+01 3.554063e+00 1.679090e-01 3.084410e-01 1.075027e-01 4.902382e-01 5.139551e-01 5.075171e-01
3.397766e+00 8.503887e+01 6.152670e+01 2.351171e+01 9.216919e+00 2.236445e+01 3.557126e+00 1.696227e-01 3.077794e-01 1.082654e-01 4.961787e-01 5.224833e-01 5.125510e-01
3.497384e+00 8.503888e+01 6.152670e+01 2.351171e+01 9.203482e+00 2.209801e+01 3.561129e+00 1.725740e-01 3.130232e-01 1.088593e-01 5.036995e-01 5.351082e-01 5.181595e-01
3.599990e+00 8.503888e+01 6.152670e+01 2.351171e+01 9.219921e+00 2.200821e+01 3.569459e+00 1.773626e-01 3.232444e-01 1.101624e-01 5.120841e-01 5.507440e-01 5.235403e-01
3.699691e+00 8.503889e+01 6.152670e+01 2.351171e+01 9.238728e+00 2.195061e+01 3.582512e+00 1.815757e-01 3.318452e-01 1.115955e-01 5.191024e-01 5.616237e-01 5.285622e-01
3.799390e+00 8.503892e+01 6.152670e+01 2.351171e+01 9.205300e+00 2.161341e+01 3.593777e+00 1.837038e-01 3.336879e-01 1.126399e-01 5.243403e-01 5.653862e-01 5.328874e-01
3.899083e+00 8.503894e+01 6.152670e+01 2.351171e+01 9.069154e+00 2.083694e+01 3.584462e+00 1.819615e-01 3.244143e-01 1.127644e-01 5.264970e-01 5.639784e-01 5.343222e-01
3.998771e+00 8.503896e+01 6.152670e+01 2.351171e+01 8.816445e+00 1.971163e+01 3.543436e+00 1.787571e-01 3.101304e-01 1.124033e-01 5.237022e-01 5.579248e-01 5.310581e-01
4.098475e+00 8.503898e+01 6.152670e+01 2.351171e+01 8.515466e+00 1.855378e+01 3.475682e+00 1.742162e-01 2.943725e-01 1.107836e-01 5.184980e-01 5.521532e-01 5.245297e-01
4.198203e+00 8.503900e+01 6.152670e+01 2.351171e+01 8.203769e+00 1.752350e+01 3.388301e+00 1.693177e-01 2.808377e-01 1.085401e-01 5.114325e-01 5.449241e-01 5.163973e-01
4.297810e+00 8.503902e+01 6.152670e+01 2.351171e+01 7.909582e+00 1.665587e+01 3.294432e+00 1.648358e-01 2.702876e-01 1.059709e-01 5.037227e-01 5.361768e-01 5.085509e-01
4.397224e+00 8.503903e+01 6.152670e+01 2.351171e+01 7.655764e+00 1.592535e+01 3.211252e+00 1.610848e-01 2.604742e-01 1.043219e-01 4.960694e-01 5.274705e-01 5.011491e-01
4.499355e+00 8.503903e+01 6.152670e+01 2.351171e+01 7.425210e+00 1.525068e+01 3.136535e+00 1.577354e-01 2.527775e-01 1.024599e-01 4.896082e-01 5.200395e-01 4.947661e-01
4.598353e+00 8.503905e+01 6.152670e+01 2.351171e+01 7.216229e+00 1.463366e+01 3.069545e+00 1.551868e-01 2.465086e-01 1.014618e-01 4.853113e-01 5.143813e-01 4.908841e-01
4.697109e+00 8.503906e+01 6.152670e+01 2.351171e+01 7.026266e+00 1.402451e+01 3.014732e+00 1.533798e-01 2.416654e-01 1.003588e-01 4.828346e-01 5.104377e-01 4.889017e-01
4.798474e+00 8.503907e+01 6.152670e+01 2.351171e+01 6.854822e+00 1.342104e+01 2.973031e+00 1.514263e-01 2.354649e-01 9.958569e-02 4.814468e-01 5.076264e-01 4.880595e-01
4.899544e+00 8.503909e+01 6.152670e+01 2.351171e+01 6.712643e+00 1.285021e+01 2.949975e+00 1.499931e-01 2.295501e-01 9.909028e-02 4.806065e-01 5.054474e-01 4.877333e-01
4.997483e+00 8.503910e+01 6.152670e+01 2.351171e+01 6.601847e+00 1.234873e+01 2.942442e+00 1.485271e-01 2.222142e-01 9.961848e-02 4.802953e-01 5.037521e-01 4.880784e-01
5.098090e+00 8.503913e+01 6.152670e+01 2.351171e+01 6.496218e+00 1.188235e+01 2.937309e+00 1.476445e-01 2.156349e-01 1.005960e-01 4.805900e-01 5.019237e-01 4.894626e-01
5.198521e+00 8.503916e+01 6.152670e+01 2.351171e+01 6.394362e+00 1.146967e+01 2.929861e+00 1.467594e-01 2.101494e-01 1.013428e-01 4.816022e-01 4.997601e-01 4.923229e-01
5.298772e+00 8.503919e+01 6.152670e+01 2.351171e+01 6.297832e+00 1.109368e+01 2.923407e+00 1.457690e-01 2.055410e-01 1.019361e-01 4.826878e-01 4.978134e-01 4.952984e-01
5.398855e+00 8.503922e+01 6.152670e+01 2.351171e+01 6.208486e+00 1.074120e+01 2.921830e+00 1.454896e-01 2.027569e-01 1.022525e-01 4.833202e-01 4.962869e-01 4.972738e-01
5.498854e+00 8.503925e+01 6.152670e+01 2.351171e+01 6.127475e+00 1.041282e+01 2.924537e+00 1.454707e-01 1.997188e-01 1.030884e-01 4.837912e-01 4.957692e-01 4.983142e-01
5.598775e+00 8.503928e+01 6.152670e+01 2.351171e+01 6.053962e+00 1.011615e+01 2.927936e+00 1.451328e-01 1.966009e-01 1.036535e-01 4.841965e-01 4.956122e-01 4.990573e-01
5.698647e+00 8.503931e+01 6.152670e+01 2.351171e+01 5.984027e+00 9.857762e+00 2.926958e+00 1.449730e-01 1.937018e-01 1.042728e-01 4.840957e-01 4.953295e-01 4.989852e-01
5.798548e+00 8.503933e+01 6.152670e+01 2.351171e+01 5.914362e+00 9.615562e+00 2.923128e+00 1.447631e-01 1.916366e-01 1.047700e-01 4.833042e-01 4.945520e-01 4.981717e-01
5.898536e+00 8.503936e+01 6.152670e+01 2.351171e+01 5.847886e+00 9.389040e+00 2.919796e+00 1.440903e-01 1.887155e-01 1.052611e-01 4.819927e-01 4.934589e-01 4.967852e-01
5.998554e+00 8.503939e+01 6.152670e+01 2.351171e+01 5.784655e+00 9.174249e+00 2.918148e+00 1.439920e-01 1.872581e-01 1.057739e-01 4.805750e-01 4.924362e-01 4.951942e-01
6.098619e+00 8.503941e+01 6.152670e+01 2.351171e+01 5.722327e+00 8.977029e+00 2.914605e+00 1.434524e-01 1.849548e-01 1.060208e-01 4.792948e-01 4.912053e-01 4.939460e-01
6.198779e+00 8.503943e+01 6.152670e+01 2.351171e+01 5.664143e+00 8.814892e+00 2.906108e+00 1.429055e-01 1.833576e-01 1.060531e-01 4.784917e-01 4.902985e-01 4.933414e-01
6.298989e+00 8.503945e+01 6.152670e+01 2.351171e+01 5.609813e+00 8.684322e+00 2.892493e+00 1.429893e-01 1.834733e-01 1.060789e-01 4.777411e-01 4.890858e-01 4.932790e-01
6.399257e+00 8.503947e+01 6.152670e+01 2.351171e+01 5.558521e+00 8.571551e+00 2.875412e+00 1.425113e-01 1.831863e-01 1.056495e-01 4.768805e-01 4.878426e-01 4.932622e-01
6.499631e+00 8.503948e+01 6.152670e+01 2.351171e+01 5.511494e+00 8.465420e+00 2.859651e+00 1.417271e-01 1.819502e-01 1.053389e-01 4.758208e-01 4.861090e-01 4.933936e-01
6.597217e+00 8.503950e+01 6.152670e+01 2.351171e+01 5.468666e+00 8.355321e+00 2.849403e+00 1.420642e-01 1.821628e-01 1.054955e-01 4.748722e-01 4.842063e-01 4.938984e-01
6.697732e+00 8.503951e+01 6.152670e+01 2.351171e+01 5.432022e+00 8.250497e+00 2.844695e+00 1.419358e-01 1.813907e-01 1.055766e-01 4.748300e-01 4.831349e-01 4.953823e-01
6.798336e+00 8.503952e+01 6.152670e+01 2.351171e+01 5.402272e+00 8.158310e+00 2.843553e+00 1.426433e-01 1.820428e-01 1.059049e-01 4.756427e-01 4.828697e-01 4.977914e-01
6.899031e+00 8.503953e+01 6.152670e+01 2.351171e+01 5.375848e+00 8.070877e+00 2.844893e+00 1.431594e-01 1.822072e-01 1.063530e-01 4.769672e-01 4.831029e-01 5.007676e-01
6.999774e+00 8.503953e+01 6.152670e+01 2.351171e+01 5.351910e+00 7.987676e+00 2.848141e+00 1.430282e-01 1.811077e-01 1.068659e-01 4.786217e-01 4.838351e-01 5.039157e-01
7.097690e+00 8.503954e+01 6.152670e+01 2.351171e+01 5.331730e+00 7.907073e+00 2.854167e+00 1.432494e-01 1.807469e-01 1.074337e-01 4.800982e-01 4.845091e-01 5.069274e-01
7.198559e+00 8.503954e+01 6.152670e+01 2.351171e+01 5.317272e+00 7.826305e+00 2.865197e+00 1.440655e-01 1.810571e-01 1.082509e-01 4.816526e-01 4.856859e-01 5.099323e-01
7.299476e+00 8.503955e+01 6.152670e+01 2.351171e+01 5.310574e+00 7.747755e+00 2.882730e+00 1.451612e-01 1.814845e-01 1.092776e-01 4.833737e-01 4.873076e-01 5.130213e-01
7.397551e+00 8.503956e+01 6.152670e+01 2.351171e+01 5.305419e+00 7.665028e+00 2.903509e+00 1.459365e-01 1.812162e-01 1.104241e-01 4.853619e-01 4.894979e-01 5.161685e-01
7.498571e+00 8.503956e+01 6.152670e+01 2.351171e+01 5.298061e+00 7.578551e+00 2.924818e+00 1.463559e-01 1.799733e-01 1.117159e-01 4.876166e-01 4.921145e-01 5.195106e-01
7.599644e+00 8.503957e+01 6.152670e+01 2.351171e+01 5.287252e+00 7.491560e+00 2.943863e+00 1.469514e-01 1.794485e-01 1.129897e-01 4.896524e-01 4.941848e-01 5.228831e-01
7.697869e+00 8.503957e+01 6.152670e+01 2.351171e+01 5.273567e+00 7.407177e+00 2.960138e+00 1.479576e-01 1.795782e-01 1.141345e-01 4.913115e-01 4.955298e-01 5.260611e-01
7.799030e+00 8.503958e+01 6.152670e+01 2.351171e+01 5.255528e+00 7.315292e+00 2.975639e+00 1.486153e-01 1.791705e-01 1.152590e-01 4.926663e-01 4.962196e-01 5.292391e-01
7.897355e+00 8.503958e+01 6.152670e+01 2.351171e+01 5.234959e+00 7.219164e+00 2.990896e+00 1.489823e-01 1.780790e-01 1.164563e-01 4.940446e-01 4.969280e-01 5.324620e-01
7.998607e+00 8.503959e+01 6.152670e+01 2.351171e+01 5.210600e+00 7.113438e+00 3.006523e+00 1.491755e-01 1.767059e-01 1.175798e-01 4.952009e-01 4.972770e-01 5.359148e-01
8.099901e+00 8.503959e+01 6.152670e+01 2.351171e+01 5.179683e+00 6.997784e+00 3.020119e+00 1.495089e-01 1.760421e-01 1.185349e-01 4.961446e-01 4.974311e-01 5.392806e-01
8.198340e+00 8.503960e+01 6.152670e+01 2.351171e+01 5.144965e+00 6.884580e+00 3.029846e+00 1.501945e-01 1.756571e-01 1.197590e-01 4.970596e-01 4.976941e-01 5.423642e-01
8.299712e+00 8.503960e+01 6.152670e+01 2.351171e+01 5.104089e+00 6.769885e+00 3.035405e+00 1.499399e-01 1.738873e-01 1.206012e-01 4.978010e-01 4.976084e-01 5.451497e-01
8.398208e+00 8.503960e+01 6.152670e+01 2.351171e+01 5.060900e+00 6.661739e+00 3.036481e+00 1.494027e-01 1.720295e-01 1.212593e-01 4.978908e-01 4.967377e-01 5.472591e-01
8.499609e+00 8.503960e+01 6.152670e+01 2.351171e+01 5.013797e+00 6.550595e+00 3.034206e+00 1.494112e-01 1.713453e-01 1.217402e-01 4.974316e-01 4.951081e-01 5.489487e-01
8.598100e+00 8.503961e+01 6.152670e+01 2.351171e+01 4.968850e+00 6.448774e+00 3.029447e+00 1.494190e-01 1.707056e-01 1.220827e-01 4.970255e-01 4.939252e-01 5.501923e-01
8.699451e+00 8.503961e+01 6.152670e+01 2.351171e+01 4.923994e+00 6.350382e+00 3.022546e+00 1.486882e-01 1.688682e-01 1.223215e-01 4.967899e-01 4.932639e-01 5.512179e-01
8.797853e+00 8.503961e+01 6.152670e+01 2.351171e+01 4.882423e+00 6.261732e+00 3.014877e+00 1.480760e-01 1.673163e-01 1.224804e-01 4.964772e-01 4.923767e-01 5.522714e-01
8.899092e+00 8.503961e+01 6.152670e+01 2.351171e+01 4.838653e+00 6.174040e+00 3.005026e+00 1.478409e-01 1.666958e-01 1.225761e-01 4.956872e-01 4.908273e-01 5.531301e-01
8.997378e+00 8.503961e+01 6.152670e+01 2.351171e+01 4.792383e+00 6.090456e+00 2.991350e+00 1.477297e-01 1.663395e-01 1.226462e-01 4.946108e-01 4.891347e-01 5.535187e-01
9.098495e+00 8.503962e+01 6.152670e+01 2.351171e+01 4.742133e+00 6.001103e+00 2.976318e+00 1.468234e-01 1.645862e-01 1.225031e-01 4.936039e-01 4.873896e-01 5.540134e-01
9.199549e+00 8.503962e+01 6.152670e+01 2.351171e+01 4.691225e+00 5.912081e+00 2.960612e+00 1.457983e-01 1.627153e-01 1.222785e-01 4.924027e-01 4.853642e-01 5.543397e-01
9.297651e+00 8.503962e+01 6.152670e+01 2.351171e+01 4.640023e+00 5.829248e+00 2.942914e+00 1.451083e-01 1.617588e-01 1.219777e-01 4.907416e-01 4.825939e-01 5.540894e-01
