Time CMX1 CMY1 CMX2 CMY2 CMX3 CMY3
0.000000e+00 2.358028e-01 -6.757201e-02 1.530518e-01 -8.387383e-02 4.523517e-01 -2.491223e-02
9.941757e-02 2.357954e-01 -6.744318e-02 1.530257e-01 -8.388299e-02 4.523929e-01 -2.442233e-02
1.981392e-01 2.357932e-01 -6.706907e-02 1.529992e-01 -8.390174e-02 4.524550e-01 -2.302235e-02
2.991094e-01 2.357889e-01 -6.638442e-02 1.529632e-01 -8.387548e-02 4.525352e-01 -2.063473e-02
3.988841e-01 2.357790e-01 -6.538889e-02 1.529273e-01 -8.368367e-02 4.525926e-01 -1.754275e-02
4.990965e-01 2.357849e-01 -6.401516e-02 1.529218e-01 -8.322336e-02 4.526221e-01 -1.377696e-02
5.990884e-01 2.358221e-01 -6.225609e-02 1.529487e-01 -8.247710e-02 4.526749e-01 -9.373947e-03
6.988377e-01 2.358939e-01 -6.008682e-02 1.530147e-01 -8.144203e-02 4.527460e-01 -4.243557e-03
7.982761e-01 2.360224e-01 -5.756395e-02 1.531330e-01 -8.008457e-02 4.528888e-01 1.337351e-03
8.973620e-01 2.362071e-01 -5.459397e-02 1.533336e-01 -7.838875e-02 4.530217e-01 7.650072e-03
9.992052e-01 2.364515e-01 -5.114086e-02 1.535799e-01 -7.634164e-02 4.532538e-01 1.479179e-02
1.098240e+00 2.367768e-01 -4.743072e-02 1.538970e-01 -7.400287e-02 4.535879e-01 2.211743e-02
1.197188e+00 2.371489e-01 -4.336462e-02 1.542701e-01 -7.139900e-02 4.539467e-01 3.002013e-02
1.298717e+00 2.375552e-01 -3.877928e-02 1.546600e-01 -6.842683e-02 4.543914e-01 3.885386e-02
1.397178e+00 2.380175e-01 -3.402627e-02 1.551302e-01 -6.527044e-02 4.548328e-01 4.781265e-02
1.498547e+00 2.385679e-01 -2.876658e-02 1.556852e-01 -6.168100e-02 4.553828e-01 5.747004e-02
1.597162e+00 2.391221e-01 -2.326664e-02 1.562368e-01 -5.781954e-02 4.559629e-01 6.727149e-02
